step,a,b,error_sq
122,7.207656e-04,4.374625e-09,8.005775e-18
123,7.207656e-04,4.374625e-09,8.005775e-18
124,7.207661e-04,4.285485e-09,8.005725e-18
125,7.207653e-04,4.161721e-09,8.005611e-18
126,7.207661e-04,3.921559e-09,8.005453e-18
127,7.207649e-04,3.553950e-09,8.005152e-18
128,7.207658e-04,2.889820e-09,8.004679e-18
129,7.207638e-04,1.822537e-09,8.003845e-18
130,7.207648e-04,1.158407e-09,8.003370e-18
131,7.207628e-04,9.112406e-11,8.002536e-18
132,7.207628e-04,9.112406e-11,8.002536e-18
133,7.207637e-04,2.587997e-11,8.002511e-18
134,7.207637e-04,2.587997e-11,8.002511e-18
135,7.207637e-04,2.587997e-11,8.002511e-18
136,7.207637e-04,2.587997e-11,8.002511e-18
137,7.207637e-04,2.587997e-11,8.002511e-18
138,7.207637e-04,2.587997e-11,8.002511e-18
139,7.207632e-04,2.412998e-11,8.002496e-18
140,7.207632e-04,2.412998e-11,8.002496e-18
141,7.207632e-04,2.412998e-11,8.002496e-18
142,7.207632e-04,2.412998e-11,8.002496e-18
143,7.207631e-04,6.725215e-12,8.002486e-18
144,7.207631e-04,6.725215e-12,8.002486e-18
145,7.207626e-04,4.975222e-12,8.002468e-18
146,7.207626e-04,4.975222e-12,8.002468e-18
147,7.207626e-04,4.975222e-12,8.002468e-18
148,7.207626e-04,4.975222e-12,8.002468e-18
149,7.207621e-04,3.225230e-12,8.002455e-18
150,7.207621e-04,3.225230e-12,8.002455e-18
151,7.207614e-04,4.137071e-12,8.002448e-18
152,7.207614e-04,4.137071e-12,8.002448e-18
153,7.207612e-04,2.666462e-12,8.002443e-18
154,7.207612e-04,2.666462e-12,8.002443e-18
155,7.207614e-04,3.103960e-12,8.002440e-18
156,7.207614e-04,3.103960e-12,8.002440e-18
157,7.207614e-04,3.103960e-12,8.002440e-18
158,7.207614e-04,3.103960e-12,8.002440e-18
159,7.207614e-04,3.103960e-12,8.002440e-18
160,7.207614e-04,3.322709e-12,8.002438e-18
161,7.207614e-04,3.322709e-12,8.002438e-18
162,7.207614e-04,3.322709e-12,8.002438e-18
163,7.207614e-04,3.322709e-12,8.002438e-18
164,7.207614e-04,3.322709e-12,8.002438e-18
165,7.207614e-04,3.322709e-12,8.002438e-18
166,7.207614e-04,3.322709e-12,8.002438e-18
167,7.207614e-04,3.322709e-12,8.002438e-18
168,7.207614e-04,3.322709e-12,8.002438e-18
169,7.207614e-04,3.322709e-12,8.002438e-18
170,7.207614e-04,3.322709e-12,8.002438e-18
171,7.207614e-04,3.322709e-12,8.002438e-18
